external_ref,subject,outcome_id,licence_classification,basis,rewritten,exact,normalized,shingle,semantic,marking_spec,verified,paid_selection_eligible,status_label
C10-2627-MATH-REQ022-DIAG-011,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2117,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-013,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-014,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.069,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-015,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2928,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-DIAG-016,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0435,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-001,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1307,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-002,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-003,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0609,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-005,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1543,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-006,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1515,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-008,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0485,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-009,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.3397,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-011,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.216,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-013,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1987,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-014,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0833,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-015,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2205,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-016,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.0456,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-018,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1054,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ022-REASS-020,Mathematics,a0dac4d4-04fc-4e78-b094-1eef5c255fdd,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1072,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-DIAG-001,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2711,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-DIAG-003,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-DIAG-004,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,True,False,False,0.0,0.2928,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-DIAG-006,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2691,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-REASS-001,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2279,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-REASS-003,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1952,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-REASS-004,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.3984,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-REASS-006,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2632,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-REASS-008,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.3118,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ024-REASS-010,Mathematics,a83eeff7-b944-4850-9d32-447617627acc,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0505,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-DIAG-001,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.3344,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-DIAG-003,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,ORIGINAL_EDUOS_CONTENT,marking_spec_conclusion_reached,False,False,False,0.0,0.1318,present,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-DIAG-004,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2197,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-DIAG-007,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.3145,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-REASS-001,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.3381,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-REASS-003,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.288,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-REASS-004,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.252,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-REASS-006,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.3474,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-REASS-008,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.5313,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ027-REASS-010,Mathematics,7faf0623-1326-4adf-af09-755f81784d24,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2445,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-DIAG-001,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1464,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-DIAG-003,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1066,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-DIAG-004,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0851,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-DIAG-005,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.2004,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-REASS-001,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.1404,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-REASS-003,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,equivalent_value_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-REASS-004,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.087,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-REASS-005,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.165,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-REASS-007,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0657,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ029-REASS-010,Mathematics,ea1338d1-cd16-4e98-ac3c-0b9b5d90e32a,FACT_OR_FORMULA_ONLY,numeric_values_restated,False,False,False,0.0,0.0,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-DIAG-001,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,True,False,False,0.0,0.1833,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-DIAG-003,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.4187,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-DIAG-004,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2988,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-DIAG-005,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2978,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-REASS-001,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.1989,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-REASS-003,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.3444,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-REASS-004,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.2711,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
C10-2627-MATH-REQ032-REASS-005,Mathematics,12cd0743-df5f-45ee-b771-03dfadaa392d,ORIGINAL_EDUOS_CONTENT,numeric_values_restated,False,False,False,0.0,0.4237,not_required,True,False,FOUNDER_AUTHORIZED_AUTOMATED_PROVISIONAL
