question_id,subject,unit,expert_decision,corrected_question,corrected_answer,expert_comments,reviewer_name,qualification,review_date
C10-2627-MATH-REQ027-DIAG-001,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-DIAG-002,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-DIAG-003,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-DIAG-004,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-DIAG-005,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-DIAG-006,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-DIAG-007,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-001,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-002,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-003,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-004,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-005,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-006,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-007,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-008,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-009,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ027-REASS-010,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-001,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-002,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-003,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-004,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-005,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-006,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-DIAG-007,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-001,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-002,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-003,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-004,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-005,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-006,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-007,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-008,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-009,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ024-REASS-010,Mathematics,Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-001,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-002,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-003,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-004,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-005,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-006,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-007,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-008,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-009,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-010,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-011,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-012,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-013,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-014,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-015,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-016,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-DIAG-017,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-001,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-002,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-003,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-004,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-005,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-006,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-007,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-008,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-009,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-010,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-011,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-012,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-013,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-014,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-015,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-016,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-017,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-018,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-019,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ022-REASS-020,Mathematics,Coordinate Geometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-001,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-002,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-003,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-004,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-005,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-006,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-DIAG-007,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-001,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-002,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-003,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-004,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-005,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-006,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-007,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-008,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-009,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ029-REASS-010,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-001,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-002,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-003,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-004,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-005,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-006,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-DIAG-007,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-001,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-002,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-003,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-004,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-005,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-006,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-007,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-008,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-009,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ032-REASS-010,Mathematics,Trigonometry,,,,,,,
C10-2627-MATH-REQ034-DIAG-001,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-DIAG-002,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-DIAG-003,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-DIAG-004,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-DIAG-005,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-DIAG-006,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-DIAG-007,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-001,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-002,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-003,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-004,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-005,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-006,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-007,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-008,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-009,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ034-REASS-010,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-001,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-002,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-003,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-004,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-005,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-006,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-DIAG-007,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-001,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-002,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-003,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-004,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-005,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-006,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-007,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-008,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-009,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ036-REASS-010,Mathematics,Mensuration,,,,,,,
C10-2627-MATH-REQ037-DIAG-001,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-DIAG-002,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-DIAG-003,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-DIAG-004,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-DIAG-005,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-DIAG-006,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-DIAG-007,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-001,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-002,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-003,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-004,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-005,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-006,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-007,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-008,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-009,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ037-REASS-010,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-001,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-002,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-003,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-004,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-005,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-006,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-DIAG-007,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-001,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-002,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-003,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-004,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-005,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-006,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-007,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-008,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-009,Mathematics,Statistics & Probability,,,,,,,
C10-2627-MATH-REQ038-REASS-010,Mathematics,Statistics & Probability,,,,,,,
C10-2627-SCI-REQ022-REASS-001,Science,World of Living,,,,,,,
C10-2627-SCI-REQ039-DIAG-001,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-DIAG-002,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-001,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-002,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-003,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-004,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-005,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-DIAG-003,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-DIAG-004,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-006,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-007,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-008,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-009,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ039-REASS-010,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-DIAG-001,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-DIAG-002,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-001,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-002,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-003,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-004,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-005,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-DIAG-003,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-DIAG-004,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-006,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-007,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-008,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-009,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ037-REASS-010,Science,Natural Phenomena,,,,,,,
C10-2627-SCI-REQ041-DIAG-001,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ041-DIAG-002,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ041-REASS-001,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ041-REASS-002,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ041-REASS-003,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ041-REASS-004,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ041-REASS-005,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-DIAG-001,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-DIAG-002,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-REASS-001,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-REASS-002,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-REASS-003,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-REASS-004,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ042-REASS-005,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-DIAG-001,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-DIAG-002,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-001,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-002,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-003,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-004,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-005,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-DIAG-003,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-DIAG-004,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-006,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-007,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-008,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-009,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ043-REASS-010,Science,Effects of Current,,,,,,,
C10-2627-SCI-REQ045-DIAG-001,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-002,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-003,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-004,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-005,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-006,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-007,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-001,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-002,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-003,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-004,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-005,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-006,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-007,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-008,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-009,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-010,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-008,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-009,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-010,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-011,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-012,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-013,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-DIAG-014,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-011,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-012,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-013,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-014,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-015,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-016,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-017,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-018,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-019,Science,Natural Resources,,,,,,,
C10-2627-SCI-REQ045-REASS-020,Science,Natural Resources,,,,,,,
