question_id,subject,unit,chapter,topic_atom,outcome_code,outcome,official_requirement_ids,official_source_reference,kind,difficulty,marks,pool,stimulus,prompt,options,correct_answer,explanation,scoring_rule,current_status,automated_blockers,automated_warnings,sme_decision,sme_correction,sme_comment,sme_name,sme_qualification,sme_signature_date
"C10-2627-SCI-REQ037-REASS-006","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","FRESH_REASSESSMENT","","An object is placed 20 cm from a concave lens of focal length 20 cm. Find the position of the image.","","10 cm from the lens on the same side as the object, that is v = -10 cm","With u = -20 cm and f = -20 cm, 1/v = -1/20 - 1/20 = -1/10, so v = -10 cm and the virtual image lies 10 cm from the lens on the object side.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-REASS-007","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","short_answer","2","2","FRESH_REASSESSMENT","","A concave lens has a focal length of 50 cm. Find its power.","","-2 dioptre","P = 1/f in metres = 1/(-0.5) = -2 D, and the negative sign shows the lens is diverging.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ037-REASS-008","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","FRESH_REASSESSMENT","","A ray of light passes from air into water. The ray","bends away from the normal | passes undeviated in every case | is totally reflected | bends towards the normal","bends towards the normal","Water is optically denser than air, so on entering it the ray slows and bends towards the normal, in agreement with Snell's law.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ037-REASS-009","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","case_study","3","3","FRESH_REASSESSMENT","","A coin lying at the bottom of a bucket of clear water appears to be raised when viewed from directly above.  Name the phenomenon responsible and explain the observation.","","Refraction of light; rays from the coin bend away from the normal on leaving water, so the coin appears nearer the surface.","Light leaving the denser water for the rarer air bends away from the normal. The eye traces these rays back in straight lines, so the image of the coin is formed above the coin's real position and the bottom appears raised.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-SCI-REQ037-REASS-010","Science","Natural Phenomena","Light – Reflection and Refraction","Refraction of Light","LO_9.2.1.1","Apply Snell's law, solve thin-lens equations, and calculate optical power in dioptres.","REQ_SCI_2026_037 | REQ_SCI_2026_038","Science_SecP1_2026-27.pdf Page 7","assertion_reason","2","1","FRESH_REASSESSMENT","","Assertion (A): A lens of short focal length has a large power. Reason (R): The power of a lens is the reciprocal of its focal length expressed in metres. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","Both A and R are true and R is the correct explanation of A.","Because power varies inversely with focal length, a shorter focal length gives a larger numerical power.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-DIAG-001","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","DIAGNOSTIC","","A person suffering from myopia can see distinctly only up to 80 cm. Find the nature and power of the corrective lens required for distant vision.","","A concave lens of power -1.25 dioptre","The lens must form the image of a distant object at the far point, so f = -80 cm = -0.8 m and P = 1/(-0.8) = -1.25 D, which is a diverging concave lens.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ039-DIAG-002","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","DIAGNOSTIC","","The ability of the eye lens to change its curvature and focus objects at different distances is called","scattering | accommodation | dispersion | persistence of vision","accommodation","Ciliary muscles alter the curvature and hence the focal length of the eye lens, and this ability is termed accommodation.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-DIAG-003","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","DIAGNOSTIC","","Explain why the clear sky appears blue during the day.","","Because the fine molecules of air scatter shorter blue wavelengths much more strongly than longer red wavelengths.","According to Rayleigh scattering, the scattered intensity is much greater for shorter wavelengths. Air molecules therefore scatter blue light far more than red, and this scattered blue light reaching the eye from all directions makes the sky look blue.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-DIAG-004","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","DIAGNOSTIC","","White light splits into its constituent colours on passing through a glass prism because","the prism adds new colours to the light | all colours travel with the same speed in glass | the prism reflects each colour separately | different colours are refracted through different angles","different colours are refracted through different angles","Each colour has a different speed in glass and hence a different refractive index, so each is deviated by a different amount, producing a spectrum.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-001","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","short_answer","4","4","FRESH_REASSESSMENT","","A person with hypermetropia has a near point of 50 cm. Find the power of the lens needed so that the person can read comfortably at the normal near point of 25 cm.","","+2 dioptre","The lens must form a virtual image at 50 cm of an object placed at 25 cm, so 1/f = 1/(-50) - 1/(-25) = 1/50, f = +50 cm and P = 1/0.5 = +2 D, a converging convex lens.","Answer-key match with educator override. 4 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ039-REASS-002","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","FRESH_REASSESSMENT","","State what presbyopia is and explain why a bifocal lens is commonly prescribed for it.","","It is the age-related loss of accommodation; a bifocal lens has a concave upper part for distant vision and a convex lower part for near vision.","With age the ciliary muscles weaken and the eye lens becomes less flexible, so the near point recedes and distant vision may also be affected. A bifocal lens combines the two required corrections in one spectacle lens.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-003","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","FRESH_REASSESSMENT","","Myopia is corrected by using","a plane glass sheet | a bifocal lens in every case | a concave lens of suitable power | a convex lens of suitable power","a concave lens of suitable power","In myopia the image of a distant object forms in front of the retina, so a diverging concave lens is used to push the image back onto the retina.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-004","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","case_study","3","3","FRESH_REASSESSMENT","","A student reads a textbook easily but cannot read the writing on the classroom board from the last bench.  Name the defect of vision and the type of lens required, giving a reason.","","Myopia, corrected with a concave lens.","The student's near vision is normal but distant vision is blurred, which is myopia. A concave lens diverges the incoming light so that the image of the distant board is formed on the retina rather than in front of it.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-SCI-REQ039-REASS-005","Science","Natural Phenomena","The Human Eye and the Colourful World","The Human Eye","LO_10.1.1.1","Explain eye accommodation and correct Myopia, Hypermetropia, and Presbyopia using spherical lenses.","REQ_SCI_2026_039","Science_SecP1_2026-27.pdf Page 7","assertion_reason","2","1","FRESH_REASSESSMENT","","Assertion (A): The least distance of distinct vision for a normal adult eye is taken as 25 cm. Reason (R): The eye lens can go on increasing its curvature without any limit. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","A is true but R is false.","The standard near point is indeed about 25 cm, but the curvature of the eye lens cannot increase indefinitely, which is precisely why a near point exists.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-006","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","FRESH_REASSESSMENT","","Explain why the sun appears reddish at sunrise and sunset.","","Near the horizon sunlight travels a long path through the atmosphere, so most of the blue light is scattered away and mainly red light reaches the observer.","At sunrise and sunset the light must pass through a much greater thickness of atmosphere. Shorter wavelengths are scattered out of the direct beam, leaving predominantly the longer red wavelengths to reach the eye.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-007","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","FRESH_REASSESSMENT","","Explain why stars twinkle but planets generally do not.","","Stars are point sources whose light is refracted by continually changing layers of air, whereas planets are extended sources whose many points average out.","Atmospheric refraction changes constantly as air layers move, so the apparent position and brightness of a point-like star fluctuate. A planet subtends a larger angle and acts as a collection of point sources whose variations cancel, so its light appears steady.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-008","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","FRESH_REASSESSMENT","","Among the colours of the visible spectrum passing through a prism, the greatest deviation is suffered by","green | violet | red | yellow","violet","Violet has the shortest wavelength and the greatest refractive index in glass, so it is deviated most.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ039-REASS-009","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","case_study","3","3","FRESH_REASSESSMENT","","After a shower, an observer standing with the sun behind sees a rainbow in the sky.  Name the three optical effects that together produce the rainbow in the water droplets.","","Refraction, internal reflection and dispersion of sunlight in the droplets.","Sunlight refracts on entering a droplet and disperses into colours, reflects internally at the rear surface, and refracts again on leaving, so the separated colours emerge in different directions and form the arc.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-SCI-REQ039-REASS-010","Science","Natural Phenomena","The Human Eye and the Colourful World","Prismatic Dispersion and Atmospheric Optics","LO_10.2.1.1","Analyze light dispersion, atmospheric refraction (twinkling), and Rayleigh scattering (blue sky/red sunset).","REQ_SCI_2026_039 | REQ_SCI_2026_040","Science_SecP1_2026-27.pdf Page 7","assertion_reason","3","1","FRESH_REASSESSMENT","","Assertion (A): The sun is visible a little before actual sunrise. Reason (R): Light from the sun bends as it passes through atmospheric layers of increasing density. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","Both A and R are true and R is the correct explanation of A.","Atmospheric refraction bends the sunlight towards the observer, so the sun's apparent position is higher than its true position and it becomes visible about two minutes early.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ041-DIAG-001","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","short_answer","2","2","DIAGNOSTIC","","A potential difference of 12 V is applied across a resistor of 4 ohm. Find the current in the resistor.","","3 A","By Ohm's law I = V/R = 12/4 = 3 A.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ041-DIAG-002","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","short_answer","2","2","DIAGNOSTIC","","Three resistors of 2 ohm, 3 ohm and 5 ohm are connected in series. Find the equivalent resistance.","","10 ohm","In series the equivalent resistance is the sum, 2 + 3 + 5 = 10 ohm.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ041-REASS-001","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","short_answer","3","2","FRESH_REASSESSMENT","","Two resistors of 6 ohm and 3 ohm are connected in parallel. Find the equivalent resistance.","","2 ohm","For a parallel combination 1/R = 1/6 + 1/3 = 1/2, so R = 2 ohm.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ041-REASS-002","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","short_answer","2","2","FRESH_REASSESSMENT","","A current of 0.5 A flows through a resistor of 24 ohm. Find the potential difference across it.","","12 V","By Ohm's law V = IR = 0.5 x 24 = 12 V.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ041-REASS-003","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","short_answer","4","3","FRESH_REASSESSMENT","","A wire of length 2 m and uniform cross-sectional area 0.5 square millimetre has resistivity 1.6 x 10^-8 ohm metre. Find its resistance.","","0.064 ohm","R = rho L / A with A = 0.5 x 10^-6 square metre, so R = (1.6 x 10^-8 x 2) / (5 x 10^-7) = 0.064 ohm.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ041-REASS-004","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","mcq","2","1","FRESH_REASSESSMENT","","When several resistors are connected in parallel, the equivalent resistance is","equal to the sum of the resistances | equal to the average of the resistances | less than the smallest individual resistance | greater than the largest individual resistance","less than the smallest individual resistance","Adding a parallel path provides an extra route for current, so the combined resistance falls below that of any single branch.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ041-REASS-005","Science","Effects of Current","Electricity","Electric Potential and Ohm's Law","LO_11.1.1.1","State Ohm's Law, calculate equivalent resistances, and analyze factors affecting electrical resistivity.","REQ_SCI_2026_041","Science_SecP1_2026-27.pdf Page 7","assertion_reason","3","1","FRESH_REASSESSMENT","","Assertion (A): A thicker wire of the same material and length has a lower resistance than a thinner one. Reason (R): The resistance of a conductor is inversely proportional to its area of cross-section. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","Both A and R are true and R is the correct explanation of A.","Since R = rho L / A, increasing the cross-sectional area decreases the resistance for a fixed material and length.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-SCI-REQ042-DIAG-001","Science","Effects of Current","Electricity","Heating Effect of Electric Current","LO_11.2.1.1","Apply Joule's Law of Heating and compute commercial electrical energy consumption in kWh.","REQ_SCI_2026_042","Science_SecP1_2026-27.pdf Page 7","short_answer","3","3","DIAGNOSTIC","","A current of 2 A flows through a resistor of 5 ohm for 10 s. Using Joule's law, find the heat produced.","","200 J","H = I^2 R t = 4 x 5 x 10 = 200 joule.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-SCI-REQ042-DIAG-002","Science","Effects of Current","Electricity","Heating Effect of Electric Current","LO_11.2.1.1","Apply Joule's Law of Heating and compute commercial electrical energy consumption in kWh.","REQ_SCI_2026_042","Science_SecP1_2026-27.pdf Page 7","mcq","1","1","DIAGNOSTIC","","One kilowatt hour is equal to","3.6 x 10^3 joule | 3.6 x 10^6 joule | 1000 joule | 3600 joule","3.6 x 10^6 joule","One kilowatt hour is 1000 watt x 3600 second = 3.6 x 10^6 joule.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
