year,subject,subject_code,archive,pdf_entry,pages,max_marks,set_series,language,exam_type,status,exclusion_reason,sha256
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/30_B_Maths Std. for VI candidates Punjabi version.pdf,15,80,,Punjabi,MAIN,ACCEPTED,,821f877215873ef2b0ba222245d6f1f0418761b92efcaa01d6a480b8316c0d72
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/40_2_1_Maths Standard Punjabi version.pdf,15,80,40/2/1,Punjabi,MAIN,ACCEPTED,,bc8449586446dd3c4deec05f1e7eca7a70db2e5bb0ef0024469beedc772ad6c6
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/40_2_2_Maths Standard Punjabi version.pdf,15,80,40/2/2,Punjabi,MAIN,ACCEPTED,,c83c47cafd64025e19c8e800d58d3930ce9f698d2d5f766cb0c5da8b21fa2ec8
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/40_2_3_Maths Standard Punjabi version.pdf,15,80,40/2/3,Punjabi,MAIN,ACCEPTED,,0e17f4d252b8ee7f28cf475184b8509720740520e965bbe66ff82ce5ea6531a5
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/46_4_1 Maths Std. Urdu version.pdf,16,80,46/4/1,English/Hindi,MAIN,ACCEPTED,,48cc84bba5e5d1259c6bfaccdd66abfba6f7f32a62284f9f6819c915e6b2925e
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/46_4_2 Maths Std. Urdu version.pdf,16,80,46/4/2,English/Hindi,MAIN,ACCEPTED,,27a4f41060001bf3d13c967f2155961fb93872bcf0007b5e5ebeb73d3cbcbae3
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/46_4_3 Maths Std. Urdu version.pdf,16,80,46/4/3,English/Hindi,MAIN,ACCEPTED,,c61ff51c90dde80feee21d9fbbc35cc64894fe8ba80e1a435ad00131c302292b
2023,Mathematics Standard,041,041_Mathematics_Standard_2023-extracted,2023/041_Mathematics_Standard_2023-extracted/MATHEMATICS_STANDARD/46_B_Maths Std. for VI candidates Urdu version.pdf,16,80,,English/Hindi,MAIN,ACCEPTED,,ac41594aa1dc6fbeb0abc9a2f481f258ca9da3342f6569e7de859638cf910662
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_1_1_Science.pdf,32,,,English/Hindi,MAIN,ACCEPTED,,4ac854fa4a93649c92b09d489838651df49a1ea5274c781565e41426e34aada3
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_1_2_Science.pdf,32,,,English/Hindi,MAIN,ACCEPTED,,845d2e07dfb17fe08459ac0b8a9a4f3070d18b890086802a749d601de22c0c9a
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_1_3_Science.pdf,32,,,English/Hindi,MAIN,ACCEPTED,,75265a02cd1b6b1c8d074c6c371c0bb765e2bb64bca6449942e03bfec98eabab
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_2_1_Science.pdf,27,80,31/2/1,English/Hindi,MAIN,ACCEPTED,,9ba44e7b4c4133960fa0bbde019733e3331fc340f28519216794f4a249fea6f0
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_2_2_Science.pdf,27,80,31/2/2,English/Hindi,MAIN,ACCEPTED,,8b8ba281d9dc0f75527ee94696f779ff4fdbc61d7fcb8fec2e8a19ab00bdccf0
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_2_3_Science.pdf,27,80,31/2/3,English/Hindi,MAIN,ACCEPTED,,424d766905b0ad530f3ec244b5ea2ecdb92b345e840a2801019e9c941497f100
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_4_1_ Science.pdf,24,80,31/4/1,English/Hindi,MAIN,ACCEPTED,,8d91670def670a80bcac26e0113c844962609fce2661e0c91f575a22bc4d5221
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_4_2_Science.pdf,24,80,31/4/2,English/Hindi,MAIN,ACCEPTED,,374b9c591d7a259c582d90ee3a9fc63da49164a0b53e838267e83a95e33486e8
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_4_3_Science.pdf,24,80,31/4/3,English/Hindi,MAIN,ACCEPTED,,ad24cbbfc3c82c7a931421e6efca16f5fd80f32de388bcf1aeedaba117109731
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_5_1_Science.pdf,27,80,31/5/1,English/Hindi,MAIN,ACCEPTED,,d9f478a3ffee29831a4eac2b1d371936dd750ed3855e4a3c298126dce37a2800
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_5_2_Science.pdf,27,80,31/5/2,English/Hindi,MAIN,ACCEPTED,,3754243f9f0e031507ef819d5ca5b344d804b82ef49b8d8000ff527907f0d295
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_5_3_Science.pdf,27,80,31/5/3,English/Hindi,MAIN,ACCEPTED,,44e7ea90e99293afeba3e3cc108afdd4af175f0f717c712ac60e3591d4ca71bf
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_6_1_Science.pdf,32,,,English/Hindi,MAIN,ACCEPTED,,a56802575bb6ccbf6a9ed7db4e67d371776dc520581f473b34fb3eff0586712a
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_6_2_Science.pdf,32,,,English/Hindi,MAIN,ACCEPTED,,0a001fc9f753e9b2a415818a5a815d304008661165a624b33070580b809dac43
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_6_3_Science.pdf,32,,,English/Hindi,MAIN,ACCEPTED,,f2ed5c45c7b6ff9dd14d643f9082ff38cbf31d09dd6e67fcbeb420df80f75181
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/31_B_5_Science for VI.pdf,27,80,,English/Hindi,MAIN,ACCEPTED,,fa3d9e3353c9010dd58c843e61343dce206bda4aae215dcd247df116d2a7d19a
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/41_2_1_Science punjabi version.pdf,15,80,41/2/1,Punjabi,MAIN,ACCEPTED,,e2226a43ac2e13c10f56e3077d90234f9c3bc6c3c90c6b28205e44ca6c7225d8
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/41_2_2_Science punjabi version.pdf,15,80,41/2/2,Punjabi,MAIN,ACCEPTED,,00d261f4c6ef9af6e3c480dc3469cfe29ba5f2d14dc41b267cffc313d781c8ff
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/41_2_3_Science punjabi version.pdf,15,80,41/2/3,Punjabi,MAIN,ACCEPTED,,a61b9c6201b7f75915c0ec9dbf829ce5e2158e63840729316a0cb4f978bfc933
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/41_B_5_Science for VI punjabi version.pdf,19,80,,Punjabi,MAIN,ACCEPTED,,0e556d5abc6b1587b7fa327d46d0f68c701f5f6747eef5314a87488edb296369
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/47-4-1 Science Urdu version.pdf,16,80,47/4/1,English/Hindi,MAIN,ACCEPTED,,135ad2d28a792333ac7c003f0bb95f7b932fed49c6d37193bf167584800d7e88
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/47-4-2 Science Urdu version.pdf,16,80,47/4/2,English/Hindi,MAIN,ACCEPTED,,0c86a9b0fc7c50235ee1e3786d89ca52e46e22e3edff402401d2fdbe1a023907
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/47-4-3 Science Urdu version.pdf,16,80,47/4/3,English/Hindi,MAIN,ACCEPTED,,c835ed0c76c4539e4f1756ad1ecde96c7fd296f80a03b320d788706533abf617
2023,Science,086,086_Science_2023-extracted,2023/086_Science_2023-extracted/SCIENCE/47_B_5_Science for VI Urdu version.pdf,19,80,,English/Hindi,MAIN,ACCEPTED,,cd0b85780bc57cf6aadb6028c8f17b8e4dea5c0cfecd29ae11ba5dbb2d8b60b1
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30(B) Mathematics.pdf,24,8,,English/Hindi,MAIN,ACCEPTED,,d7b6e9c332413a9ad30edbb5da2dd99587b28735b564d1b8235ae8851dc5cba6
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-1-1(Mathematics Standard).pdf,16,,30/1/1,English/Hindi,MAIN,ACCEPTED,,d1f44d715c1bcf257fba4468180c6fcd40ecbbe6a484d4dee1f521848c78c6ed
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-1-2(Mathematics Standard).pdf,16,,30/1/2,English/Hindi,MAIN,ACCEPTED,,71b9d884d8d7b4364118b296335f9be85ee64d976cd1b1f1ed7861d5b5ccfc9d
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-1-3(Mathematics Standard).pdf,16,,30/1/3,English/Hindi,MAIN,ACCEPTED,,baa444e15c5428b2e981ec1c2599744ff044fa853d3aefd01a84f5f816ea4021
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-2-1(Mathematics Standard).pdf,24,,30/2/1,English/Hindi,MAIN,ACCEPTED,,8d6c4d837f569dc7eb98f71317526b83d6cb1267e84391c7b6cc58e9b98bcfec
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-2-2(Mathematics Standard).pdf,24,,30/2/2,English/Hindi,MAIN,ACCEPTED,,6f47249950cb7176ce00800ea9b34c13946b9fed6e4c2af3d397ae0e87bfb754
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-2-3(Mathematics Standard).pdf,24,,30/2/3,English/Hindi,MAIN,ACCEPTED,,30e1bf35432e998f261fb44381813c0ccb7b13139a82a59e3466eaf8625b6f1e
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-3-1(Mathematics Standard).pdf,24,,30/3/1,English/Hindi,MAIN,ACCEPTED,,24b6e501839815fee457552b04da0b9ceb1aa1e51fa65e2fc90daa665bf55ac8
2024,Mathematics Standard,041,041_Mathematics_Standard_2024-extracted,2024/041_Mathematics_Standard_2024-extracted/MATHEMATICS_STANDARD/30-3-2(Mathematics Standard).pdf,24,,30/3/2,English/Hindi,MAIN,ACCEPTED,,4ef964e1ba8617b5b6cf09f454dbb496462edbae58f7b2691aefea378d6c8dbb
