question_id,subject,unit,chapter,topic_atom,outcome_code,outcome,official_requirement_ids,official_source_reference,kind,difficulty,marks,pool,stimulus,prompt,options,correct_answer,explanation,scoring_rule,current_status,automated_blockers,automated_warnings,sme_decision,sme_correction,sme_comment,sme_name,sme_qualification,sme_signature_date
"C10-2627-MATH-REQ001-DIAG-011","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","true_false","2","1","DIAGNOSTIC","","State whether the following is true or false, and justify in one line: The sum of two irrational numbers is always irrational.","True | False","False","A counterexample settles it: (2 + root 5) + (2 - root 5) = 4, which is rational.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-012","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","3","DIAGNOSTIC","","Given that root 5 is irrational, show that 3 - 2 root 5 is irrational.","","If 3 - 2 root 5 were rational and equal to r, then root 5 = (3 - r)/2 would be rational, contradicting the given. Hence 3 - 2 root 5 is irrational.","The argument isolates root 5 using only rational operations, so a rational value for the expression would force a rational value for root 5.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-DIAG-013","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","case_study","3","3","DIAGNOSTIC","","A student writes: 'Every number written with a square root sign is irrational, so root(9/4) is irrational.'  Is the student correct? Give the value of root(9/4) and classify it.","","Not correct; root(9/4) = 3/2, which is rational.","A square root is irrational only when the number under the root is not a perfect square of a rational. Here 9/4 is the square of 3/2.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-DIAG-014","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","fill_blank","2","1","DIAGNOSTIC","","Fill in both blanks: root 2 x root 8 = ______, which is a ______ number (rational / irrational).","","4, rational","root 2 x root 8 = root 16 = 4, an integer and therefore rational. Two irrationals can multiply to a rational.","Answer-key match with educator override. 1 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-001","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","2","2","FRESH_REASSESSMENT","","Express 3825 as a product of its prime factors.","","3^2 x 5^2 x 17","3825 / 3 = 1275, / 3 = 425, / 5 = 85, / 5 = 17, which is prime. Hence 3825 = 3^2 x 5^2 x 17.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-MATH-REQ001-REASS-002","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","mcq","2","1","FRESH_REASSESSMENT","","Find the LCM of 12, 15 and 21.","630 | 105 | 420 | 210","420","12 = 2^2 x 3, 15 = 3 x 5, 21 = 3 x 7. Highest powers give 2^2 x 3 x 5 x 7 = 420.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-MATH-REQ001-REASS-003","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","case_study","3","3","FRESH_REASSESSMENT","","Two athletes start together at the starting line of a circular track. One completes a lap in 250 seconds and the other in 300 seconds, and both keep a steady pace.  After how many minutes do they stand together at the starting line again?","","25 minutes","They meet after LCM(250, 300) = 1500 seconds, which is 25 minutes.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-REASS-004","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","2","2","FRESH_REASSESSMENT","","What is the smallest positive number that is divisible by both 63 and 84?","","252","The smallest such number is LCM(63, 84). 63 = 3^2 x 7 and 84 = 2^2 x 3 x 7, so the LCM is 2^2 x 3^2 x 7 = 252.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-005","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","true_false","2","1","FRESH_REASSESSMENT","","State whether the following is true or false, and justify in one line: If two positive integers p and q are co-prime, then LCM(p, q) = p x q.","True | False","True","Co-prime means HCF = 1, and since HCF x LCM = pq, the LCM equals pq.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-006","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","FRESH_REASSESSMENT","","The LCM of two numbers is 1200 and their HCF is 20. One of the numbers is 80. Find the other number.","","300","Using HCF x LCM = product of the numbers, the other number is (1200 x 20) / 80 = 300.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-MATH-REQ001-REASS-007","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","assertion_reason","3","1","FRESH_REASSESSMENT","","Assertion (A): For some natural number n, the number 6^n ends with the digit 0. Reason (R): The prime factorisation of 6^n contains only the primes 2 and 3. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","A is false but R is true.","A number ends in 0 only if 5 divides it. 6^n = 2^n x 3^n has no factor 5, so the assertion is false while the reason is true.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-008","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","data_interpretation","2","2","FRESH_REASSESSMENT","","Prime factorisations: | Number | Factorisation | | P | 2^4 x 3^2 x 7 | | Q | 2^2 x 3^3 x 11 |  Write the HCF of P and Q.","","36","Common primes are 2 and 3 with lowest powers 2^2 and 3^2, so the HCF is 4 x 9 = 36.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-REASS-009","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","FRESH_REASSESSMENT","","Find the HCF of 144, 180 and 192 by prime factorisation.","","12","144 = 2^4 x 3^2, 180 = 2^2 x 3^2 x 5, 192 = 2^6 x 3. Lowest common powers give 2^2 x 3 = 12.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-MATH-REQ001-REASS-010","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.1","Express composite numbers as products of prime factors and calculate HCF and LCM using prime factorization.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","case_study","4","3","FRESH_REASSESSMENT","","A rectangular verandah measures 624 cm by 498 cm. It is to be paved with identical square tiles laid without cutting any tile and without leaving a gap.  What is the largest possible side of such a square tile, in centimetres?","","6","The tile side must divide both 624 and 498, so it is HCF(624, 498). 624 = 2^4 x 3 x 13 and 498 = 2 x 3 x 83, giving 6 cm.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-REASS-011","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","4","3","FRESH_REASSESSMENT","","Prove that the square root of 7 is irrational.","","Suppose root 7 = a/b with a, b co-prime. Then 7b^2 = a^2, so 7 divides a; writing a = 7c gives b^2 = 7c^2, so 7 divides b. This contradicts a and b being co-prime, so root 7 is irrational.","Same contradiction structure as for other primes, resting on: if a prime p divides a^2 then p divides a.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-012","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","mcq","2","1","FRESH_REASSESSMENT","","Exactly one number in the list below can be written as a ratio of two integers. Identify it.","root 2 x root 5 | root 16 | root 20 | 2 + root 3","root 16","root 16 = 4. The others reduce to 2 root 5, an irrational sum, and root 10, all irrational.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-013","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","FRESH_REASSESSMENT","","Given that root 3 is irrational, show that 5 - root 3 is irrational.","","If 5 - root 3 = r were rational then root 3 = 5 - r would be rational, contradicting the given. So 5 - root 3 is irrational.","Subtraction of rationals keeps a number rational, so a rational value would make root 3 rational.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-014","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","assertion_reason","3","1","FRESH_REASSESSMENT","","Assertion (A): root 6 + root 6 is irrational. Reason (R): The sum of any two irrational numbers is always irrational. Choose the correct option.","Both A and R are true and R is the correct explanation of A. | Both A and R are true but R is not the correct explanation of A. | A is true but R is false. | A is false but R is true.","A is true but R is false.","root 6 + root 6 = 2 root 6, which is irrational, so A is true. R is false because root 2 + (- root 2) = 0 is rational.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-015","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","true_false","1","1","FRESH_REASSESSMENT","","State whether the following is true or false, and justify in one line: Every real number is either rational or irrational.","True | False","True","The irrationals are defined as exactly those real numbers that are not rational, so the two classes together make up the reals.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-016","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","case_study","3","3","FRESH_REASSESSMENT","","A number is written as 0.12112111211112... , where the count of 1s between successive 2s increases by one each time and the pattern never repeats as a block.  Classify the number as rational or irrational and justify your answer in one line.","","Irrational, because its decimal expansion is non-terminating and non-recurring.","A rational number has a terminating or eventually repeating decimal expansion; this expansion is neither.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","STIMULUS_EMBEDDED","","","","","",""
"C10-2627-MATH-REQ001-REASS-017","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","FRESH_REASSESSMENT","","Give one example of two different irrational numbers whose product is a rational number, and state the product.","","root 2 and root 8; their product is 4.","root 2 x root 8 = root 16 = 4. Any pair of the form root a and root b with ab a perfect square works.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-018","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","fill_blank","2","1","FRESH_REASSESSMENT","","Fill in the blank: if p is a prime number and p divides a squared, then p divides ______.","","a","This is the key lemma behind every irrationality proof of this type, and it follows from the uniqueness of prime factorisation.","Answer-key match with educator override. 1 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-019","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","mcq","2","1","FRESH_REASSESSMENT","","The number 1 divided by root 3 is","an integer | a terminating decimal | irrational | rational","irrational","1 / root 3 = root 3 / 3. If it were rational then root 3 would be rational, which it is not.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ001-REASS-020","Mathematics","Number Systems","Real Numbers","Fundamental Theorem of Arithmetic","LO_M1.1.2","Prove the irrationality of numbers such as square root of 2, square root of 3, and square root of 5.","REQ_MATH_2026_001 | REQ_MATH_2026_002 | REQ_MATH_2026_003 | REQ_MATH_2026_004","Maths_SecP1X_2026-27.pdf Page 2","short_answer","3","2","FRESH_REASSESSMENT","","Given that root 2 is irrational, show that 7 root 2 is irrational.","","If 7 root 2 = r were rational then root 2 = r/7 would be rational, contradicting the given. So 7 root 2 is irrational.","Dividing a rational by the non-zero rational 7 leaves it rational, which would force root 2 to be rational.","Answer-key match with educator override. 2 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","none","","","","","",""
"C10-2627-MATH-REQ005-DIAG-001","Mathematics","Algebra","Polynomials","Zeroes of a Polynomial and Relationship with Coefficients","LO_M2.1.1","Determine zeroes geometrically and apply relationships between zeroes and coefficients of quadratic polynomials.","REQ_MATH_2026_005 | REQ_MATH_2026_006 | REQ_MATH_2026_007","Maths_SecP1X_2026-27.pdf Page 2","short_answer","2","3","DIAGNOSTIC","","Find the zeroes of the quadratic polynomial x^2 - 7x + 10 and verify the relationship between the zeroes and the coefficients.","","Zeroes 2 and 5; sum = 7 = -b/a and product = 10 = c/a.","x^2 - 7x + 10 = (x - 2)(x - 5). Sum of zeroes 2 + 5 = 7 matches -(-7)/1 and product 2 x 5 = 10 matches 10/1.","Answer-key match with educator override. 3 marks maximum, partial credit at reviewer discretion.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
"C10-2627-MATH-REQ005-DIAG-002","Mathematics","Algebra","Polynomials","Zeroes of a Polynomial and Relationship with Coefficients","LO_M2.1.1","Determine zeroes geometrically and apply relationships between zeroes and coefficients of quadratic polynomials.","REQ_MATH_2026_005 | REQ_MATH_2026_006 | REQ_MATH_2026_007","Maths_SecP1X_2026-27.pdf Page 2","mcq","2","1","DIAGNOSTIC","","The sum of the zeroes of the polynomial 3x^2 - 5x + 2 is","3/5 | 5/3 | -5/3 | 2/3","5/3","For ax^2 + bx + c the sum of the zeroes is -b/a = -(-5)/3 = 5/3.","Exact option match. 1 mark for the correct option, 0 otherwise.","draft / unverified","none","NUMERIC_CHECK","","","","","",""
